from	to	family	partial_rho	n_donors	dropped_dataset
AGT_source_index	Peri_AT1R_response	allowed	0.274718564962423	75	Meyer_2021_5prime
processing_index	Peri_AT1R_response	allowed	0.301359225531663	75	Meyer_2021_5prime
Peri_AGTR1	Peri_AT1R_response	allowed	0.0182496192386354	75	Meyer_2021_5prime
Peri_ACE2	Peri_AT1R_response	allowed	0.300350010660361	75	Meyer_2021_5prime
Peri_AT1R_response	contractile	allowed	0.252237639241743	85	Meyer_2021_5prime
Peri_AT1R_response	inflammatory	allowed	0.248055501270276	85	Meyer_2021_5prime
Peri_AT1R_response	activated_migratory	allowed	0.527164354113739	85	Meyer_2021_5prime
Peri_AT1R_response	BM_minus_FIB	allowed	-0.545905804182138	85	Meyer_2021_5prime
BM_minus_FIB	EC_readout	allowed	0.0939372811899965	80	Meyer_2021_5prime
Peri_AT1R_response	EC_readout	allowed	0.303730548685597	80	Meyer_2021_5prime
AGT_source_index	BM_minus_FIB	forbidden	-0.119049616542632	78	Meyer_2021_5prime
processing_index	EC_readout	forbidden	0.0318018210462644	79	Meyer_2021_5prime
Mast_CMA1	BM_minus_FIB	forbidden	-0.119939429974498	62	Meyer_2021_5prime
VSMC_AGT	Peri_AGTR1	forbidden	0.0235008437255628	90	Meyer_2021_5prime
AGT_source_index	Peri_AGTR1	forbidden	-0.159082092447256	93	Meyer_2021_5prime
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.139063468177392	78	Meyer_2021_5prime
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0415774099318403	79	Meyer_2021_5prime
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.234066499453341	72	Meyer_2021_5prime
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.267637790211589	72	Meyer_2021_5prime
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.294163150492264	80	Meyer_2021_5prime
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.349829600778968	79	Meyer_2021_5prime
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.194392747140323	82	Meyer_2021_5prime
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.188587545012717	62	Meyer_2021_5prime
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.340434640275994	62	Meyer_2021_5prime
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0490521790111393	85	Meyer_2021_5prime
AGT_source_index	Peri_AT1R_response	allowed	0.274175287012168	77	Misharin_2021
processing_index	Peri_AT1R_response	allowed	0.312090872743766	77	Misharin_2021
Peri_AGTR1	Peri_AT1R_response	allowed	0.0097358637644722	77	Misharin_2021
Peri_ACE2	Peri_AT1R_response	allowed	0.261435842022771	77	Misharin_2021
Peri_AT1R_response	contractile	allowed	0.250893052416709	87	Misharin_2021
Peri_AT1R_response	inflammatory	allowed	0.219034774367573	87	Misharin_2021
Peri_AT1R_response	activated_migratory	allowed	0.510115185536196	87	Misharin_2021
Peri_AT1R_response	BM_minus_FIB	allowed	-0.543395057228257	87	Misharin_2021
BM_minus_FIB	EC_readout	allowed	0.157049662340774	82	Misharin_2021
Peri_AT1R_response	EC_readout	allowed	0.355066665176851	82	Misharin_2021
AGT_source_index	BM_minus_FIB	forbidden	-0.0948912626055895	80	Misharin_2021
processing_index	EC_readout	forbidden	0.041587260662712	81	Misharin_2021
Mast_CMA1	BM_minus_FIB	forbidden	-0.104782667372733	65	Misharin_2021
VSMC_AGT	Peri_AGTR1	forbidden	0.00676602499884407	92	Misharin_2021
AGT_source_index	Peri_AGTR1	forbidden	-0.163633818589026	95	Misharin_2021
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.125105485232067	80	Misharin_2021
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0785230352303523	81	Misharin_2021
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.252810070344317	74	Misharin_2021
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.315897815623843	74	Misharin_2021
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.355492430426312	82	Misharin_2021
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.322402890695574	81	Misharin_2021
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.16691303027235	84	Misharin_2021
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.199737762237762	65	Misharin_2021
